Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/vui-cung-xep-giay-origami-tap-6.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_241300.jpg "

					Vui Cùng Xếp Giấy Origami - Tập 6				" "" "(0 đánh giá)" "null" "
				    Nhiều Tác Giả				" "
				    NXB Đà Nẵng				" "
				    2014				" "
				    30 x 21 cm				" "
				    Bìa Mềm				" "
Origami là nghệ thuật xếp giấy của Nhật. Đó là một kỹ năng mà chỉ với một tờ giấy bình thường bạn có thể xếp thành những đồ vật thật sinh động chỉ bằng vài thao tác gấp đơn giản và dễ dàng. Quan trọng hơn, với nghệ thuật Origami bạn có thể khám phá ra rất nhiều điều thú vị mà sẽ mang niềm vui đến trong chính cuộc sống của bạn. Chắc chắn bạn sẽ có được tài năng sáng tạo qua việc thực hiện theo các chỉ dẫn từng bước trong bộ sách Vui Cùng Xếp Giấy Origami này. Các hình ảnh minh họa trong sách này đặc biệt mang tính trực quan, giúp bạn dễ dàng nắm vững nghệ thuật xếp giấy của người Nhật. Bạn sẽ hoàn toàn ngạc nhiên về cách mà Origami được thực hiện đơn giản và dễ dàng như thế nào qua từng quyển của bộ sách. 
" "
				    16				" "Sách tiếng Việt" "Âm Nhạc - Mỹ Thuật - T..." "Thủ Công - Tạo Hình" "null" "13.500 đ" "15.000 đ"
