Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/ba-tuoc-tieu-thu-tap-1-tang-kem-lot-ly.html https://cdn0.fahasa.com/media/catalog/product/8/9/8935244875904.jpg "

					Bá Tước Tiểu Thư - Tập 1 - Tặng Kèm Lót Ly				" "5.0" "(1 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Chieko Hosokawa, Fu Min				" "
				    Kim Đồng				" "
				    2022				" "
				    17.6 x 11.3 cm				" "
				    Bìa Mềm				" "
Bá Tước Tiểu Thư
Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô.
Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước...
Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác NỮ HOÀNG AI CẬP (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả.
Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc. 
" "
				    216				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "28.500 đ" "30.000 đ"
https://www.fahasa.com/ky-an-sieu-nhien-tap-8-tang-kem-bookmark-giay.html https://cdn0.fahasa.com/media/catalog/product/8/9/8934974184768.jpg "

					Kỳ Án Siêu Nhiên - Tập 8 - Tặng Kèm Bookmark Giấy				" "" "(0 đánh giá)" "
NXB Trẻ " "
				    Kyo Shirodaira				" "
				    Trẻ				" "
				    2023				" "
				    17.6 x 11.3 x 1.1 cm				" "
				    Bìa Mềm				" "
Vào năm 11 tuổi, Iwanaga Kotoko bị yêu quái bắt cóc. Chúng cầu xin cô bé trở thành “Vị thần thông thái” của chúng và cô bé đã đồng ý. Kể từ đó, cô trở thành người trung gian giữa con người và yêu quái, truyền đạt tri thức và giải quyết các rắc rối phát sinh giữa hai bên. Bốn năm sau, Kotoko phải lòng Sakuragawa Kurou, một anh chàng tưởng chừng như vô hại nhưng lại là nỗi khiếp sợ của giới yêu ma: một quái vật lai tạo. Kể từ đó, cặp đôi sở hữu sức mạnh siêu nhiên cùng nhau giải quyết các vụ án kỳ lạ xoay quanh yêu quái và quái vật. 
" "
				    200				" "Sách tiếng Việt" "Manga - Comic" "Manga" "Manga Khác" "33.250 đ" "35.000 đ"
https://www.fahasa.com/son-goal-tap-2-tang-kem-obi-bia-bonus-postcard.html https://cdn0.fahasa.com/media/catalog/product/s/o/son-goal-2-mockup-bia-_-qua-tang.jpg "

