Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
- Đố em phân biệt! - Khỉ đột và Tinh tinh
- Đố em phân biệt! - Gấu trúc đỏ và Gấu mèo
- Đố em phân biệt! - Sư tử biển và Hải cẩu
- Đố em phân biệt! - Bướm và Bướm đêm
- Đố em phân biệt! - Tuần lộc và Hươu Père David
- Đố em phân biệt! - Cua bơi và Cua lông
- Đố em phân biệt! - Báo săn và Báo hoa
- Đố em phân biệt! - Chuồn chuồn và Chuồn chuồn kim
- Đố em phân biệt! - Tê tê và Tatu
- Đố em phân biệt! – Bạch tuộc và Mực 
" "
				    24				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Sách Tranh Kiến Thức S..." "18.000 đ" "20.000 đ"
https://www.fahasa.com/vui-khoe-moi-ngay-bi-mat-trong-ngan-ban.html https://cdn0.fahasa.com/media/catalog/product/v/u/vui-khoe-moi-ngay_3-bia_bi-mat-trong-ngan-ban_1.jpg "

					Vui Khỏe Mỗi Ngày - Bí Mật Trong Ngăn Bàn				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Phương Trinh				" "
				    Kim Đồng				" "
				    2023				" "
				    20.5 x 14.5 x 0.2 cm				" "
				    Bìa Mềm				" "
Vui Khỏe Mỗi Ngày - Bí Mật Trong Ngăn Bàn
Những câu chuyện trong trẻo, ngộ nghĩnh, được kể một cách khéo léo cùng kiến thức khoa học về cách giữ gìn và chăm sóc sức khỏe.
Với Chiến công của thám tử Bun, sẽ có những câu chuyện thú vị về ăn uống đúng cách, hợp vệ sinh.
Qua Bí mật trong ngăn bàn, các bạn nhỏ sẽ biết cách chơi, hoạt động, sao cho an toàn và khỏe mạnh.
Còn Đi tìm kho báu, sẽ phát hiện những bí mật về vệ sinh thân thể.
Nào, chúng ta cùng khám phá nhé!
---
Tác giả PHƯƠNG TRINH
Tên thật: Trần Thị Phương Trinh
GIẢI THƯỞNG:
- Giải Nhất cuộc vận động sáng tác do Dự án Hỗ trợ Văn học Thiếu nhi Việt Nam - Đan Mạch tổ chức, 2006.
- Giải Ba cuộc thi Truyện ngắn 1200 chữ do báo TUỔI TRẺ tổ chức.
- Giải Ba cuộc thi truyện ngắn QUÀ TẶNG CUỘC SỐNG, 2015 (chuyển thể thành hoạt hình và phát sóng trên VTV).
TÁC PHẨM CHÍNH:
- Ánh sáng dưới lòng sông (2003)
- Đường lên thiên đàng (2008)
- Thế giới giấc mơ của bé Bon (2008)
- Mi-Min và cuộc sống nhiệm mầu (2011)
- Giống như nhạc Bach được chơi trên một chiếc cưa (2012)
- Vương quốc Mặt Trời (2017)
- Hãy để cuộc đời yêu bạn (2017)
- Ngôi nhà tiếng cười (2022) 
" "
				    44				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Sách Tranh Kiến Thức S..." "28.800 đ" "32.000 đ"
https://www.fahasa.com/mua-cua-niem-vui-mua-dong-tuyet-voi.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_185447.jpg "

					Mùa Của Niềm Vui - Mùa Đông Tuyệt Vời				" "" "(0 đánh giá)" "null" "
				    Xact Studio International				" "
				    NXB Thông Tin và Truyền Thông				" "
				    2019				" "
				    22 x 22				" "
				    Bìa Mềm				" "
Mọi trẻ em đều tò mò muốn tìm hiểu về các mùa trong năm. Loạt sách này sẽ dẫn dắt các em làm quen với một mùa đông tuyệt vời, mùa hè đầy ngạc nhiên, mùa xuân ngọt ngào với những hình ảnh minh họa đầy màu sắc. Những câu chuyện mang tính tương tác dẫn dắt trẻ qua các mùa và dạy cho chúng những nét cơ bản của từng mùa đông thông qua những chuyến tham quan thú vị. 
" "
				    24				" "Sách tiếng Việt" "Thiếu nhi" "Kiến Thức - Kỹ Năng Số..." "Sách Tranh Kiến Thức S..." "31.500 đ" "35.000 đ"
https://www.fahasa.com/cam-nang-tu-lap-tuoi-mau-giao-dung-cam-di-kham-benh.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_32267.jpg "

					Cẩm Nang Tự Lập Tuổi Mẫu Giáo - Dũng Cảm Đi Khám Bệnh				" "" "(0 đánh giá)" "null" "
				    Jonathan London, Frank Remkiewicz				" "
				    NXB Giáo Dục Việt Nam				" "
				    2020				" "
