Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/nhung-danh-nhan-lam-thay-doi-the-gioi-marie-curie-nu-giang-vien-tan-tam-voi-khoa-hoc.html https://cdn0.fahasa.com/media/catalog/product/8/9/8936146302772.jpg "

					Những Danh Nhân Làm Thay Đổi Thế Giới - Marie Curie: Nữ Giảng Viên Tận Tâm Với Khoa Học				" "" "(0 đánh giá)" "null" "
				    Hồ Viện Viện				" "
				    Văn Học				" "
				    2022				" "
				    24 x 17 cm				" "
				    Bìa Mềm				" "
Bộ sách “Những Danh nhân làm thay đổi thế giới” giới thiệu về cuộc đời và sự nghiệp của 10 danh nhân đã có những cống hiến quan trọng trong khoa học, đóng góp rất lớn cho sự phát triển của nhân loại.
Hi vọng, thong qua những bài học quý giá này sẽ là động lực truyền cảm hứng cho các em, khích lệ các em học tập theo những tấm gương sáng về sự ham học hỏi, đức tính cần cù, chăm chỉ, ý chí kiên cường và quyết tâm sắt đá để đi tới thành công.
Bộ sách gồm 4 cuốn:
+ Những Danh nhân làm thay đổi thế giới - Marie Curie: Nữ giảng viên tận tâm với khoa học
+ Những Danh nhân làm thay đổi thế giới - Einstein: Nhà khoa học thiên tài
+ Những Danh nhân làm thay đổi thế giới - Andersen: Ông hoàng cổ tích thế giới
+ Những Danh nhân làm thay đổi thế giới - Galileo: Nhà khoa học vĩ đại 
" "
				    30				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Câu Chuyện Danh Nhân N..." "36.540 đ" "42.000 đ"
https://www.fahasa.com/nhan-vat-noi-tieng-the-gioi-cac-lanh-tu-lay-lung.html https://cdn0.fahasa.com/media/catalog/product/n/h/nhan-vat-noi-tieng-the-gioi---cac-lanh-tu-lay-lung---sua-01.jpg "

					Nhân Vật Nổi Tiếng Thế Giới - Các Lãnh Tụ Lẫy Lừng				" "" "(0 đánh giá)" "
Nhã Nam " "
				    Renzo Barsotti, Eleonora Barsotti				" "
				    NXB Hà Nội				" "
				    2019				" "
				    31 x 24 cm				" "
				    Bìa Cứng				" "
Mong muốn được sống tử tế và sống có ích là điều then chốt tạo nên một cuộc sống hạnh phúc cho bạn trong tương lai. Các nhà lãnh đạo tự cổ chí kim đều mang trong mình những tố chất khơi gợi cảm hứng ấy và truyền cho bạn động lực bước lên những nấc thang mới.
Cuốn sách này không chỉ là tiểu sử khô cứng của 300 vị lãnh tụ từ Đông sang Tây, sách tập trung mô tả những điểm nhấn xuất sắc trong cuộc đời họ. Những điểm sáng ấy sẽ trở thành trời sao lấp lánh soi cho bạn nhìn rõ con đường của mình trong tương lai.
Học hỏi những nhà lãnh đạo xuất sắc của toàn nhân loại vô cùng hữu ích cho sự trưởng thành của bạn! 
" "
				    126				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Câu Chuyện Danh Nhân N..." "116.220 đ" "149.000 đ"
https://www.fahasa.com/20-nguoi-dan-ong-kiet-xuat-lam-thay-doi-the-gioi-bia-cung.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_47036.jpg "

					20 Người Đàn Ông Kiệt Xuất Làm Thay Đổi Thế Giới (Bìa Cứng)				" "" "(0 đánh giá)" "
Tân Việt " "
				    Jacopo Olivieri, Rosalba Troiano				" "
				    NXB Mỹ Thuật				" "
				    2020				" "
				    26 x 23 cm				" "
				    Bìa Cứng				" "
Không ai sinh ra có thể nổi tiếng ngay, kể cả các nhân vật đã đóng góp vào sự tiến bộ của nhân loại theo hàng nghìn cách khác nhau cũng bắt đầu từ những đứa trẻ. Nhiều người trong số họ phải trải qua muôn vàn khó khăn, nhưng những gian truân ấy đã trở thành động lực để họ tiến về phía trước và theo đuổi giấc mơ của mình. Nhờ vậy, chúng ta vẫn còn nhớ đến họ cho tới tận ngày nay.
Trong cuốn sách này, các bạn sẽ thấy 20 tấm gương về những con người phi thường. Đọc về cuộc đời họ, các bạn sẽ biết họ đã cống hiến những gì và cuộc đời của họ như thế nào. Các bạn không chỉ được tìm hiểu về những nhân vật kiệt xuất ấy sau khi họ có các khám phá, các cuộc chinh phạt hay những phát minh nổi tiếng, mà quan trọng hơn là các bạn còn biết về thời niên thiếu của họ khi mà không ai biết trước được rằng họ sẽ đạt được những thành công gì trong tương lai.
Nếu đọc thật kĩ và cảm nhận được sự khao khát cũng như những khó khăn họ đã trải qua, các bạn sẽ biết điều gì giúp họ đạt được thành công và được nhiều người ngưỡng mộ đến vậy. Đôi khi các bạn có thể nhận ra bản thân mình cũng có một đôi nét nào đó giống họ. Hãy noi theo những tấm gương ấy và các bạn có thể khám phá ra rằng đây cũng chính là con người mình.
Những người đàn ông có tài năng xuất chúng và sự kiên cường tuyệt vời đã trở thành những con người vĩ đại trong lịch sử thế giới 
" "
				    87				" "Sách tiếng Việt" "Thiếu nhi" "Kiến thức bách khoa" "Câu Chuyện Danh Nhân N..." "105.000 đ" "150.000 đ"
https://www.fahasa.com/nhung-bo-oc-vi-dai-nguoi-tim-ra-bi-mat-bau-troi-galileo-galilei-tai-ban-2023.html https://cdn0.fahasa.com/media/catalog/product/i/m/image_222957_1.jpg "

					Những Bộ Óc Vĩ Đại - Người Tìm Ra Bí Mật Bầu Trời Galileo Galilei (Tái Bản 2023)				" "" "(0 đánh giá)" "
Alpha Books " "
				    Jun Minhee, An Sunhyung				" "
				    Dân Trí				" "
				    2023				" "
				    25 x 21 x 0.4 cm				" "
				    Bìa Mềm				" "
Những Bộ Óc Vĩ Đại - Người Tìm Ra Bí Mật Bầu Trời Galileo Galilei
Những bộ óc vĩ đại là bộ truyện thiếu nhi bao gồm các câu chuyện cảm động về các danh nhân thế giới kết hợp với các hoạt động vừa học vừa chơi thú vị, bổ ích. Bộ sách được xây dựng một cách đa dạng với các chuyên mục “Vĩ nhân kể chuyện”, ”Hỏi đáp cùng vĩ nhân”, “Góc chia sẻ”, “Xưởng sáng tạo vừa chơi vừa học” bao gồm các hoạt động nuôi dưỡng tính sáng tạo, bồi dưỡng tri thức, đồng thời định hướng và xây dựng các thói quen và lối suy nghĩ đúng đắn cho trẻ em.
Trọn bộ 15 cuốn sách, mỗi cuốn đề cập tới một nhân vật nổi tiếng trong các lĩnh vực khác nhau và đều được xây dựng với hai phần chính:
Phần 1: Nói về cuộc đời, quá trình phấn đấu trong cuộc sống, sự nghiệp và các thành tựu của mỗi nhân vật bằng nhiều cách thể hiện, dẫn dắt câu chuyện khác nhau (do nhân vật đứng ngôi thứ nhất kể lại, thông qua các bức thư trao đổi giữa các nhân vật,…), kết hợp với tranh minh họa sinh động, phù hợp với nội dung truyện.
Phần 2: Hoạt động “vừa học vừa chơi” – Phương pháp giáo dục Giải pháp đồ chơi (Solutoy)
Giải pháp đồ chơi (Solutoy), cụm từ kết hợp giữa từ hai từ “giải pháp” (Solution) và đồ chơi (Toy), là phương pháp giáo dục nhằm giúp trẻ em tiếp thu tri thức một cách thú vị mà không cần phải chịu nhiều áp lực học tập. Đây là phương pháp giáo dục được đội ngũ các nhà giáo dục hàng đầu Hàn Quốc nghiên cứu và đưa ra với mục đích giúp cho trẻ em dễ dàng tiếp nhận kiến thức ngay trong chính các hoạt động sinh hoạt thường ngày, thông qua hoạt động, biểu hiện, trò chơi, thí nghiệm,… được xây dựng dựa trên tiêu chí thu hút, hướng dẫn trẻ em trực tiếp tham gia vào các hoạt động từ khi bắt đầu cho đến khi kết thúc. Trên thực tế, phương pháp giáo dục Giải pháp đồ chơi đã cho thấy hiệu quả học tập vượt trội trong việc khơi gợi hứng thú tìm tòi, học tập và nâng cao khả năng tập trung cho trẻ em. Học tập và vui chơi cùng với Giải pháp đồ chơi, các tố chất đặc biệt của trẻ nhỏ sẽ không ngừng được phát triển và phát huy thông qua một hệ thống các hoạt động phong phú, đa dạng.
Bộ sách này chắc chắn sẽ là người bạn đồng hành tin cậy và lý tưởng của trẻ em trong những bước đi đầu tiên trên con đường tiếp nhận thế giới tri thức rộng lớn của nhân loại!
Bộ sách bao gồm:
1. Danh họa “toàn tài” Leonardo da Vinci (Lee Sangkyo viết lời - Park Soohyun minh họa - Trung Nghĩa & Thanh Loan dịch)
2. Danh họa “ấn tượng” Van Gogh (Jang Sehyun viết lời - Jeong Inseong & Chon Bokju minh họa - Trung Nghĩa & Thanh Loan dịch)
3. Thần đồng âm nhạc Mozart (Kil Chiyoen viết lời - Kim Hyunjung minh họa - Đỗ Thị Hương dịch)
4. Nhà soạn nhạc thiên tài Beethoven (Bang Mijin viết lời - Lee Sang-in minh họa - Lỗ Minh Hòa dịch)
Nhà phát minh
5. Vua sáng chế Edison (Kim Youri viết lời - Han Chulhoo minh họa - Nguyễn Thị Hồng & Thanh Loan dịch)
6. Bay lên trời cùng anh em nhà Wright (Lee Youngho viết lời - Moon Koosun minh họa - Trung Nghĩa & Thanh Loan dịch)
Nhà khoa học
7. Bác học “tiến hóa” Darwin (Jang Sehyun viết lời - Oh Hana minh họa - Hoa Súng & Thanh Loan dịch)
8. Bác học “hấp dẫn” Newton (Jun Minhee viết lời - Larisa Tsepilova minh họa - Hà Anh & Thanh Loan dịch)
9. Người tìm ra bí mật bầu trời Galileo Galilei (Jun Minhee viết lời - An Sunhyung minh họa - Lỗ Minh Hòa dịch)
10. Bác học “giải thưởng” Nobel (Lee Sangkyo viết lời - Choi Jinhee minh họa - Hồng Đăng & Thanh Loan dịch)
11. “Cha đẻ” của ngành vi sinh vật Louis Pasteur (Park Aera viết lời - An Sangsun minh họa - Trần Mai Chi dịch)
Nhà hoạt động xã hội
12. Ân nhân của người nô lệ Abraham Lincoln (Yang Taeseok viết lời - Lee Mijeong minh họa - Hồng Đăng & Thanh Loan dịch)
13. Linh hồn vĩ đại Mahatma Gandhi (Kim Namgil viết lời - Chung Soyoung minh họa - Hồng Đăng & Thanh Loan dịch)
14. Vị thánh của những người khốn khổ Mẹ Teresa (Shin Jeongmin viết lời - Baek Seungmin minh họa - Đỗ Thị Hương dịch)
15. Ông vua thép nhân hậu Andrew Carnegie (Seo Jiweon viết lời - Oh Seungman minh họa - Trần Mai Chi dịch) 
" "
